,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,7.400452041625977,0.5693230198629419,0.7285984754562378,0.05730782232585967,1,0.01,3,auto,linear,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",-69.73761606739974,-173.25015308996947,-130.17221244696285,-126.23065712690656,-97.63916436953014,-94.19694609911357,-177.07927927867354,-164.34782671011158,-265.69122686680885,-365.25790501394033,-166.36029870694165,84.72270064769815,13,-53.528394745097735,-142.47012932446538,-118.03083032422244,-100.18592544360085,-77.60096846682295,-74.3326262631338,-140.64428178809138,-138.31953945893903,-196.20878088598556,-186.91380751349962,-122.82352842138589,44.91141033733643,4,0.5972439235655578,0.5718919801434963,0.837368218895007,0.8187927075347485,-0.05481578119258401,0.7243379930205514,0.6040900007146432,0.42489405446679684,0.43846746129760494,0.3866056476446842,0.5348876206090506,0.24681323550425163,13
1,7.585510563850403,0.47332647036737496,0.7422252655029297,0.07235306900025017,1,0.01,3,auto,poly,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",-109.75245925314275,-307.93760493887885,-353.81956358416096,-335.4957236677544,-124.38280050931317,-179.7073207517795,-359.6830070838672,-227.16346084106422,-393.6121909105237,-511.45599464113434,-290.3010126181619,121.29664165127585,127,-96.39341221894226,-215.8729763040749,-272.8974929742425,-261.25783658155643,-107.95941379812274,-155.4279072395733,-266.1356943055833,-181.48631202685604,-273.31804502052495,-277.50677051046017,-210.82558609799366,67.40813983117027,129,0.002445969487209765,-0.3524822209856584,-0.20152422287648486,-0.2800294538595922,-0.7117848269563927,-0.0033092272820345325,-0.6334310996866843,-0.09874491859562462,-0.2324167162711106,-0.20269933771213133,-0.2713976054738504,0.22791451536127696,128
2,7.366748714447022,0.43072329428581874,1.2676961183547975,0.37887216694956455,1,0.01,3,auto,rbf,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",-108.96458434812997,-307.06519110079137,-354.7920192065609,-336.1840444943479,-124.23978504073301,-179.80600009541394,-358.5927366066372,-226.44153709836326,-393.9576217017498,-511.3077767086432,-290.13512964013705,121.4676742708125,120,-95.92556617164739,-215.35164430177642,-272.56564541910416,-261.6575019012587,-107.76339228271284,-154.88458762222535,-265.4037070834103,-180.44829789343655,-273.2786350728907,-276.94043589817664,-210.42194136466387,67.48400388554565,123,0.01671675246270976,-0.3448296785689291,-0.20813795931806478,-0.2852871945427655,-0.7078506661920501,-0.004411386929518812,-0.6235436011567885,-0.0917724096080883,-0.2345807827969555,-0.20200236365627666,-0.2685699290306728,0.227317620296138,120
3,7.067486572265625,0.09323126779734513,0.7625250816345215,0.05069397899703965,1,0.01,3,auto,sigmoid,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",-105.8430115005956,-303.2001247217813,-348.50487312710453,-329.125861780893,-121.29762581428675,-174.75468023607223,-352.3574808015614,-223.0810230222728,-389.5113843799947,-507.60244584151684,-285.5278511226079,120.91468542829,103,-93.52278184290275,-212.17805582304632,-267.05583225897266,-256.29335681630477,-105.67660746177764,-150.76343233688192,-260.8510277543623,-176.95474326529265,-269.667419222191,-274.2038166829506,-206.71670734646824,66.79432403970128,103,0.07224717982576656,-0.31118768261748153,-0.16569935476212683,-0.2318845367553335,-0.6279201982662339,0.0512300977163358,-0.5675737121143063,-0.059607884931265565,-0.20687088276810828,-0.18464421356974503,-0.22319111882424986,0.2201435333627136,101
4,7.632694220542907,0.15512889411096478,0.8134498357772827,0.050198125545182284,1,0.01,3,scale,linear,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",-69.73761606739974,-173.25015308996947,-130.17221244696285,-126.23065712690656,-97.63916436953014,-94.19694609911357,-177.07927927867354,-164.34782671011158,-265.69122686680885,-365.25790501394033,-166.36029870694165,84.72270064769815,13,-53.528394745097735,-142.47012932446538,-118.03083032422244,-100.18592544360085,-77.60096846682295,-74.3326262631338,-140.64428178809138,-138.31953945893903,-196.20878088598556,-186.91380751349962,-122.82352842138589,44.91141033733643,4,0.5972439235655578,0.5718919801434963,0.837368218895007,0.8187927075347485,-0.05481578119258401,0.7243379930205514,0.6040900007146432,0.42489405446679684,0.43846746129760494,0.3866056476446842,0.5348876206090506,0.24681323550425163,13
5,7.657466077804566,0.10154974296955879,0.7986872673034668,0.028197087624998625,1,0.01,3,scale,poly,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",-109.8162080163043,-308.040076987811,-354.0041300269265,-335.1643263032412,-124.39395908332177,-179.87616949804394,-359.8440011698147,-227.19850883647146,-393.72540427000615,-511.4970830078128,-290.35598671997536,121.29363912962182,128,-96.45441024674409,-215.95958094395465,-272.99615984445273,-261.0075292817731,-107.96410941943282,-155.50964622850043,-266.2372453649289,-181.499276571479,-273.3714675922808,-277.53542676358126,-210.8534852257128,67.39698419184005,130,0.0012867917386996108,-0.35338249871461813,-0.20277807605060083,-0.27750191714676964,-0.7120919744782983,-0.005195484225543501,-0.6348936742034805,-0.0990839852517722,-0.23312577003345702,-0.20289258576041558,-0.27196591741262555,0.22778830498880287,129
6,7.739261722564697,0.1257581108195408,1.4715034723281861,0.41107476461109727,1,0.01,3,scale,rbf,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",-108.91568350674636,-307.0133589968631,-354.7465999487879,-336.2696305524593,-124.22070656346574,-179.75377378405966,-358.5307116646423,-226.4209760113162,-393.9299317535169,-511.26939348732634,-290.1070766269184,121.47065521963025,114,-95.88968989326874,-215.30930587781165,-272.52466539349484,-261.71960137306706,-107.7494905721254,-154.84180231714632,-265.35802066054373,-180.42732460989677,-273.2569715620326,-276.9113880901528,-210.39882603495397,67.48869332463588,117,0.017599105000356552,-0.34437570677003704,-0.20782865575924725,-0.28594169714998885,-0.7073261854335791,-0.003827990563132211,-0.6229820086956441,-0.09157415085497256,-0.2344072398842607,-0.20182190486751272,-0.26824864349780186,0.2273285381599343,114
7,7.336479759216308,0.3097211132676387,0.7767781257629395,0.02608544481089198,1,0.01,3,scale,sigmoid,"{'C': 1, 'coef0': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",-106.04783086162568,-303.4555800334994,-348.66647354360344,-328.7646200822241,-121.37000261768101,-174.95748365646725,-352.6610188918086,-223.15720141092234,-389.60118031891875,-507.7529515768385,-285.6434342993589,120.90329608526466,105,-93.69001294812864,-212.36134606308528,-267.21533227213894,-256.01317221130756,-105.73004614984676,-150.93987324724137,-261.0692898955712,-177.03697597892565,-269.7547431674,-274.32055187215616,-206.81313438058018,66.77241352354274,105,0.06865307200611515,-0.3133980442471447,-0.1667806663347633,-0.2291818391039302,-0.629863497837114,0.04902671833301353,-0.5702756458237201,-0.06033168476240913,-0.2074273984449111,-0.18534681925080987,-0.22449258054656734,0.22015175123614755,103
8,7.0294476509094235,0.17329622053836066,0.7756493091583252,0.030716514263587562,1,0.01,8,auto,linear,"{'C': 1, 'coef0': 0.01, 'degree': 8, 'gamma': 'auto', 'kernel': 'linear'}",-69.73761606739974,-173.25015308996947,-130.17221244696285,-126.23065712690656,-97.63916436953014,-94.19694609911357,-177.07927927867354,-164.34782671011158,-265.69122686680885,-365.25790501394033,-166.36029870694165,84.72270064769815,13,-53.528394745097735,-142.47012932446538,-118.03083032422244,-100.18592544360085,-77.60096846682295,-74.3326262631338,-140.64428178809138,-138.31953945893903,-196.20878088598556,-186.91380751349962,-122.82352842138589,44.91141033733643,4,0.5972439235655578,0.5718919801434963,0.837368218895007,0.8187927075347485,-0.05481578119258401,0.7243379930205514,0.6040900007146432,0.42489405446679684,0.43846746129760494,0.3866056476446842,0.5348876206090506,0.24681323550425163,13
9,7.237152504920959,0.05805569886458615,0.7619368314743042,0.025372161626786134,1,0.01,8,auto,poly,"{'C': 1, 'coef0': 0.01, 'degree': 8, 'gamma': 'auto', 'kernel': 'poly'}",-110.1623105768333,-308.4398906492461,-355.26321768698926,-333.81657773520453,-124.59670511355155,-180.46523820679442,-360.4951997881288,-227.58392725340963,-394.60833694859815,-513.2367022324783,-290.8668106191234,121.59452013904944,130,-96.72081920405451,-216.43000678217837,-273.98361444881124,-259.9668499097598,-108.06725677729435,-156.0026700577955,-266.7071682185145,-181.855248354781,-274.011600875537,-278.10343963003373,-211.18486742587598,67.45328530109332,132,-0.005018322972647038,-0.35689796314520494,-0.21134914088180867,-0.267248500969375,-0.7176774986300645,-0.011790007299806282,-0.6408162618906379,-0.10281610932624474,-0.23866256198125302,-0.2110886580236886,-0.2763365025120731,0.22755390663943137,131
