city_code,city,uf,lat,long,radiance,geometry,distance_to_city,rank
1101450,Parecis ,RO,-12.158334030600004,-61.6041657195,0.23592901,POINT (-61.6041657195 -12.158334030600004),0.0223604788458374,89.0
1101450,Parecis ,RO,-12.158334030600004,-61.5999990528,0.25275043,POINT (-61.5999990528 -12.158334030600004),0.0215859731076948,83.0
1101450,Parecis ,RO,-12.158334030600004,-61.5958323861,0.25374407,POINT (-61.5958323861 -12.158334030600004),0.0216018443327163,85.0
1101450,Parecis ,RO,-12.158334030600004,-61.5916657194,0.23130411,POINT (-61.5916657194 -12.158334030600004),0.0224064130311278,90.0
1101450,Parecis ,RO,-12.162500697300004,-61.61249905289999,0.2350711,POINT (-61.61249905289999 -12.162500697300004),0.0225938896612499,91.0
1101450,Parecis ,RO,-12.162500697300004,-61.6083323862,0.24821816,POINT (-61.6083323862 -12.162500697300004),0.0201743060663899,73.0
1101450,Parecis ,RO,-12.162500697300004,-61.6041657195,0.26928547,POINT (-61.6041657195 -12.162500697300004),0.0183914007969404,59.0
1101450,Parecis ,RO,-12.162500697300004,-61.5999990528,0.27953288,POINT (-61.5999990528 -12.162500697300004),0.0174415264258803,57.0
1101450,Parecis ,RO,-12.162500697300004,-61.5958323861,0.27304217,POINT (-61.5958323861 -12.162500697300004),0.0174611651281771,58.0
1101450,Parecis ,RO,-12.162500697300004,-61.5916657194,0.26334673,POINT (-61.5916657194 -12.162500697300004),0.0184472207657429,60.0
1101450,Parecis ,RO,-12.162500697300004,-61.5874990527,0.25759342,POINT (-61.5874990527 -12.162500697300004),0.0202590681696974,75.0
1101450,Parecis ,RO,-12.162500697300004,-61.583332386,0.2506886,POINT (-61.583332386 -12.162500697300004),0.0226998227968069,93.0
1101450,Parecis ,RO,-12.166667364000006,-61.61666571959999,0.24607581,POINT (-61.61666571959999 -12.166667364000006),0.0228399240235893,95.0
1101450,Parecis ,RO,-12.166667364000006,-61.61249905289999,0.26788673,POINT (-61.61249905289999 -12.166667364000006),0.0195821010583906,71.0
1101450,Parecis ,RO,-12.166667364000006,-61.6083323862,0.31093627,POINT (-61.6083323862 -12.166667364000006),0.0167325269190479,51.0
1101450,Parecis ,RO,-12.166667364000006,-61.6041657195,0.31696284,POINT (-61.6041657195 -12.166667364000006),0.0145333566360283,38.0
1101450,Parecis ,RO,-12.166667364000006,-61.5999990528,0.3468441,POINT (-61.5999990528 -12.166667364000006),0.013310960742973,31.0
1101450,Parecis ,RO,-12.166667364000006,-61.5958323861,0.3052184,POINT (-61.5958323861 -12.166667364000006),0.0133366832259656,32.0
1101450,Parecis ,RO,-12.166667364000006,-61.5916657194,0.30431375,POINT (-61.5916657194 -12.166667364000006),0.0146039304920402,39.0
1101450,Parecis ,RO,-12.166667364000006,-61.5874990527,0.2782507,POINT (-61.5874990527 -12.166667364000006),0.0168346272587406,52.0
1101450,Parecis ,RO,-12.166667364000006,-61.583332386,0.26508498,POINT (-61.583332386 -12.166667364000006),0.0197042327138795,72.0
1101450,Parecis ,RO,-12.166667364000006,-61.57916571929999,0.24987124,POINT (-61.57916571929999 -12.166667364000006),0.0229745755460885,97.0
1101450,Parecis ,RO,-12.170834030700007,-61.61666571959999,0.2739059,POINT (-61.61666571959999 -12.170834030700007),0.0207209841469323,79.0
1101450,Parecis ,RO,-12.170834030700007,-61.61249905289999,0.2987708,POINT (-61.61249905289999 -12.170834030700007),0.0170632862155891,53.0
1101450,Parecis ,RO,-12.170834030700007,-61.6083323862,0.37103182,POINT (-61.6083323862 -12.170834030700007),0.013699434722307,35.0
1101450,Parecis ,RO,-12.170834030700007,-61.6041657195,0.5128107,POINT (-61.6041657195 -12.170834030700007),0.0109048388215542,21.0
1101450,Parecis ,RO,-12.170834030700007,-61.5999990528,0.6566823,POINT (-61.5999990528 -12.170834030700007),0.0092129653486301,15.0
1101450,Parecis ,RO,-12.170834030700007,-61.5958323861,0.48146218,POINT (-61.5958323861 -12.170834030700007),0.0092500904905759,16.0
1101450,Parecis ,RO,-12.170834030700007,-61.5916657194,0.36312968,POINT (-61.5916657194 -12.170834030700007),0.0109987199450859,23.0
1101450,Parecis ,RO,-12.170834030700007,-61.5874990527,0.2918967,POINT (-61.5874990527 -12.170834030700007),0.013823954917274,36.0
1101450,Parecis ,RO,-12.170834030700007,-61.583332386,0.26123357,POINT (-61.583332386 -12.170834030700007),0.0172033090263708,55.0
1101450,Parecis ,RO,-12.170834030700007,-61.57916571929999,0.26862106,POINT (-61.57916571929999 -12.170834030700007),0.0208693118271067,80.0
1101450,Parecis ,RO,-12.175000697400009,-61.61666571959999,0.3085074,POINT (-61.61666571959999 -12.175000697400009),0.0192815575462491,69.0
1101450,Parecis ,RO,-12.175000697400009,-61.61249905289999,0.5538456,POINT (-61.61249905289999 -12.175000697400009),0.0152831611215417,43.0
1101450,Parecis ,RO,-12.175000697400009,-61.6083323862,2.3996172,POINT (-61.6083323862 -12.175000697400009),0.0114058664336667,25.0
1101450,Parecis ,RO,-12.175000697400009,-61.6041657195,5.8141303,POINT (-61.6041657195 -12.175000697400009),0.0078316528980778,11.0
1101450,Parecis ,RO,-12.175000697400009,-61.5999990528,4.7922835,POINT (-61.5999990528 -12.175000697400009),0.0052247495544717,5.0
1101450,Parecis ,RO,-12.175000697400009,-61.5958323861,1.9554687,POINT (-61.5958323861 -12.175000697400009),0.0052899387024555,6.0
1101450,Parecis ,RO,-12.175000697400009,-61.5916657194,0.53184986,POINT (-61.5916657194 -12.175000697400009),0.0079618539186753,13.0
