city_code,city,state,count,avg,type
1101450,Parecis ,RO,12173,0.22704511973055122,0
1101005,Governador Jorge Teixeira ,RO,24072,0.2211671043137255,0
1101484,São Felipe D'Oeste ,RO,2586,0.29419100851121427,1
1100296,Santa Luzia D'Oeste ,RO,5730,0.2762042331989529,1
1101302,Mirante da Serra ,RO,5689,0.3079494763350325,2
1101708,Urupá ,RO,3962,0.3286649551261989,2
1200328,Jordão ,AC,25382,0.2149618439267985,0
1200435,Santa Rosa do Purus ,AC,29161,0.21884976939199619,1
1200344,Manoel Urbano ,AC,50444,0.22870606233585758,2
1301951,Itamarati ,AM,119014,0.239546581533265,
1302009,Itapiranga ,AM,20300,0.28029937530679805,
1304005,Silves ,AM,17444,0.29903081009235266,
1400704,Uiramutã ,RR,38081,0.2849446371242877,0
1400233,Caroebe ,RR,56538,0.28540383200095515,1
1400506,São João da Baliza ,RR,20011,0.31246756642646545,2
1507755,Sapucaia ,PA,6113,0.28249517435301813,1
1507805,Senador José Porfírio ,PA,67674,0.27021673854464046,1
1506401,Santa Cruz do Arari ,PA,5046,0.31554669487118514,2
1600204,Calçoene ,AP,66118,0.30477055152742066,0
1600105,Amapá ,AP,39590,0.31440345779994944,1
1600550,Pracuúba ,AP,23165,0.3094320914975178,1
1600238,Ferreira Gomes ,AP,23276,0.3450366057999656,2
1600212,Cutias ,AP,10205,0.32324789628319456,2
1718881,Santa Maria do Tocantins ,TO,6693,0.288816011474675,0
1717503,Pium ,TO,47558,0.27463100171643046,0
1701101,Aparecida do Rio Negro ,TO,5511,0.3287964840627835,1
1707702,Filadélfia ,TO,9404,0.2977312344247129,1
1720804,Sítio Novo do Tocantins ,TO,1450,0.4883832234,2
1702901,Axixá do Tocantins ,TO,719,0.6249918169541029,2
2100501,Alto Parnaíba ,MA,52773,0.28394101979876074,0
2104081,Fernando Falcão ,MA,23934,0.2904614677542408,0
2105922,Lagoa do Mato ,MA,7123,0.3189711845640882,1
2101731,Belágua ,MA,2667,0.34753389638920135,1
2104701,Graça Aranha ,MA,1278,0.41844789827856027,2
